id,category,origin,ground_truth,structure_category,defect_type,source_url,source_file,property,expected,actual,classification_correct,diagnostic_match,diagnostic,expected_nodes,actual_nodes,node_count_match,parse_us,generation_median_us,c_compiled,runtime_supported,target_reached,sanitizer_clean,sanitizer_matched,baseline_attempts,baseline_compiled,baseline_target_hits,baseline_sanitizer_hits,case_passed,tool_output
"F01-empty-list","singly-list","internal","safe","singly-list","singly-list","","","",SAFE,SAFE,true,true,"",0,0,true,3704.357,285.120,true,true,true,true,,100,true,100,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F02-one-node","singly-list","internal","safe","singly-list","singly-list","","","",SAFE,SAFE,true,true,"",1,1,true,382.815,299.457,true,true,true,true,,100,true,50,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F03-tail-null","singly-list","internal","safe","singly-list","singly-list","","","",SAFE,SAFE,true,true,"",1,1,true,341.894,292.338,true,true,true,true,,100,true,50,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F04-two-nodes","singly-list","internal","safe","singly-list","singly-list","","","",SAFE,SAFE,true,true,"",2,2,true,364.932,470.397,true,true,true,true,,100,true,13,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F05-three-nodes","singly-list","internal","safe","singly-list","singly-list","","","",SAFE,SAFE,true,true,"",3,3,true,219.083,457.983,true,true,true,true,,100,true,25,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F06-live-deref","memory-safety","internal","safe","memory-safety","memory-safety","","","",SAFE,SAFE,true,true,"",1,1,true,298.429,126.392,true,true,true,true,,100,true,50,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F07-free-null","memory-safety","internal","safe","memory-safety","memory-safety","","","",SAFE,SAFE,true,true,"",0,0,true,353.177,45.156,true,true,true,true,,100,true,100,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F08-free-live","memory-safety","internal","safe","memory-safety","memory-safety","","","",SAFE,SAFE,true,true,"",1,1,true,596.423,91.760,true,true,true,true,,100,true,50,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F09-cycle","cyclic-list","internal","safe","cyclic-list","cyclic-list","","","",SAFE,SAFE,true,true,"",2,2,true,378.366,182.581,true,true,true,true,,100,true,7,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F10-doubly-linked","doubly-linked-list","internal","safe","doubly-linked-list","doubly-linked-list","","","",SAFE,SAFE,true,true,"",2,2,true,392.731,159.003,true,true,true,true,,100,true,14,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F11-binary-tree","binary-tree","internal","safe","binary-tree","binary-tree","","","",SAFE,SAFE,true,true,"",3,3,true,301.401,222.635,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F12-tree-left-child","binary-tree","internal","safe","binary-tree","binary-tree","","","",SAFE,SAFE,true,true,"",2,2,true,271.741,143.107,true,true,true,true,,100,true,5,0,true,"HEAP_MAPPER_TARGET_REACHED"
"F13-alias","aliasing","internal","safe","aliasing","aliasing","","","",SAFE,SAFE,true,true,"",1,1,true,286.905,70.543,true,false,,,,100,,,,true,""
"F14-disequality","aliasing","internal","safe","aliasing","aliasing","","","",SAFE,SAFE,true,true,"",2,2,true,264.178,67.453,true,false,,,,100,,,,true,""
"I01-null-field-read","null-dereference","internal","violation","null-dereference","null-dereference","","","",VIOLATION,VIOLATION,true,true,"dereference of NULL pointer p",,0,true,351.667,33.901,true,true,true,false,true,100,true,100,100,true,"HEAP_MAPPER_TARGET_REACHED reports/all-v1/generated/I01-null-field-read-runtime.c:28:11: runtime error: member access within null pointer of type 'struct Node'"
"I02-explicit-null-deref","null-dereference","internal","violation","null-dereference","null-dereference","","","",VIOLATION,VIOLATION,true,true,"dereference of NULL pointer p",,0,true,187.043,23.248,true,true,true,false,true,100,true,100,100,true,"HEAP_MAPPER_TARGET_REACHED reports/all-v1/generated/I02-explicit-null-deref-runtime.c:28:40: runtime error: member access within null pointer of type 'struct Node'"
"I03-variable-nullability","constraint-conflict","internal","unsat","constraint-conflict","constraint-conflict","","","",UNSAT,UNSAT,true,true,"p is both NULL and non-NULL",,,true,606.222,12.514,,,,,,100,,,,true,""
"I04-field-nullability","constraint-conflict","internal","unsat","constraint-conflict","constraint-conflict","","","",UNSAT,UNSAT,true,true,"x is both NULL and non-NULL",,,true,450.971,30.971,,,,,,100,,,,true,""
"I05-equality-conflict","aliasing","internal","unsat","aliasing","aliasing","","","",UNSAT,UNSAT,true,true,"conflicting pointer equality constraints",,,true,231.937,16.225,,,,,,100,,,,true,""
"I06-inequality-conflict","aliasing","internal","unsat","aliasing","aliasing","","","",UNSAT,UNSAT,true,true,"conflicting pointer inequality constraints",,,true,133.095,17.806,,,,,,100,,,,true,""
"I07-numeric-conflict","constraint-conflict","internal","unsat","constraint-conflict","constraint-conflict","","","",UNSAT,UNSAT,true,true,"conflicting numeric constraint for p.key",,,true,135.255,26.939,,,,,,100,,,,true,""
